How frequently are details of investor complaints filed with Stock Exchanges and SEBI?	factoid
According to ITC's Business Responsibility and Sustainability Report for FY 2024-25, how many household toilets were constructed under the Improving Health & Sanitation initiative? (A) 40,000 (B) 43,840 (C) 45,200 (D) 38,500	mcq
What audit opinion did the Statutory Auditors issue on the Company’s Financial Statements for the year ended 31st March, 2025?	factoid
List the values of 'Undisputed Dues – Others (Not Due)' for 31st March, 2024 and 31st March, 2025, and the change between them.	list
How does ITC oversee its subsidiary companies according to the corporate governance report? (A) The annual financial statements are reviewed by the Audit Committee, performance reports are presented to the Board half-yearly, and Board Meeting Minutes with significant transactions are placed before the Board (B) The Risk Management Committee reviews all subsidiary operations quarterly, and the Corporate Management Committee allocates resources to subsidiaries based on strategic plans (C) Independent directors conduct site visits to subsidiaries annually, and the Audit Committee approves all material transactions above specified thresholds (D) The Board of Directors directly manages subsidiary operations through monthly reviews, and all subsidiary policies require prior approval from the parent company's Board	mcq
What is the combined percentage of ITC's share capital held by Foreign Companies and Foreign Portfolio Investors as on 31st March, 2025? (A) 25.43% (B) 39.86% (C) 45.17% (D) 14.43%	mcq
Which key ITC food brands did Hemant Malik help launch and develop while heading marketing of the nascent Foods Business? (A) Aashirvaad, Sunfeast, Bingo!, YiPPee!, Kitchens of India (B) Bingo!, Classmate, Vivel, Engage, Fiama (C) Sunfeast, Paperboards, Personal Care, Education & Stationery (D) Aashirvaad, Tobacco, TM&D, Central Projects, Manufacturing	mcq
On what date was Sumant Bhargavan appointed as a Wholetime Director on ITC's Board?	factoid
What was the Current Tax Liabilities (Net) as at 31st March, 2025?	factoid
According to the text, how do ITC's home-grown FMCG brands support the domestic economy? (A) They support the competitiveness of domestic value chains, especially in the agri space, thereby ensuring creation and retention of value within the country (B) They leverage cutting-edge digital technologies and Industry 4.0 to strengthen real-time operations and enhance productivity (C) They represent an annual consumer spend of over ₹34,000 crores and reach over 260 million households in India (D) They utilize deep consumer insights and R&D capabilities to launch over 100 new products across target markets	mcq
What are the ITC businesses where biomass boiler investments were undertaken?	list
In which financial year did ITC first achieve Plastic Neutrality?	factoid
List the key details regarding the associate company's audit trail compliance issues, including the time period, impact proportion, and compliance actions taken.	list
During the year ended 31st March, 2025, how many Ordinary Shares did the Company issue towards employee stock options, and what was the amount?	factoid
What operational outcomes were aided by ITC's robust Employee Relations platform? (A) It facilitated the implementation of whistleblower policies, enabled smooth investigation of employee complaints, and supported the establishment of audit committee oversight (B) It aided the conclusion of collective bargaining agreements at several manufacturing units, ensured the smooth commencement of operations at greenfield locations, and enabled the execution of productivity improvement practices (C) It contributed to building harmonious stakeholder relationships, prevented employee victimization, and maintained confidentiality during investigations (D) It supported the creation of trust and empowerment environments, provided access to best-in-class resources and technology, and facilitated continuous learning opportunities	mcq
