How frequently are details of investor complaints filed with Stock Exchanges and SEBI?	factoid
According to ITC's Business Responsibility and Sustainability Report for FY 2024-25, how many household toilets were constructed under the Improving Health & Sanitation initiative? (A) 40,000 (B) 43,840 (C) 45,200 (D) 38,500	mcq
What audit opinion did the Statutory Auditors issue on the Company’s Financial Statements for the year ended 31st March, 2025?	factoid
List the values of 'Undisputed Dues – Others (Not Due)' for 31st March, 2024 and 31st March, 2025, and the change between them.	list
How does ITC oversee its subsidiary companies according to the corporate governance report? (A) The annual financial statements are reviewed by the Audit Committee, performance reports are presented to the Board half-yearly, and Board Meeting Minutes with significant transactions are placed before the Board (B) The Risk Management Committee reviews all subsidiary operations quarterly, and the Corporate Management Committee allocates resources to subsidiaries based on strategic plans (C) Independent directors conduct site visits to subsidiaries annually, and the Audit Committee approves all material transactions above specified thresholds (D) The Board of Directors directly manages subsidiary operations through monthly reviews, and all subsidiary policies require prior approval from the parent company's Board	mcq
What is the combined percentage of ITC's share capital held by Foreign Companies and Foreign Portfolio Investors as on 31st March, 2025? (A) 25.43% (B) 39.86% (C) 45.17% (D) 14.43%	mcq
Which key ITC food brands did Hemant Malik help launch and develop while heading marketing of the nascent Foods Business? (A) Aashirvaad, Sunfeast, Bingo!, YiPPee!, Kitchens of India (B) Bingo!, Classmate, Vivel, Engage, Fiama (C) Sunfeast, Paperboards, Personal Care, Education & Stationery (D) Aashirvaad, Tobacco, TM&D, Central Projects, Manufacturing	mcq
On what date was Sumant Bhargavan appointed as a Wholetime Director on ITC's Board?	factoid
What was the Current Tax Liabilities (Net) as at 31st March, 2025?	factoid
According to the text, how do ITC's home-grown FMCG brands support the domestic economy? (A) They support the competitiveness of domestic value chains, especially in the agri space, thereby ensuring creation and retention of value within the country (B) They leverage cutting-edge digital technologies and Industry 4.0 to strengthen real-time operations and enhance productivity (C) They represent an annual consumer spend of over ₹34,000 crores and reach over 260 million households in India (D) They utilize deep consumer insights and R&D capabilities to launch over 100 new products across target markets	mcq
What are the ITC businesses where biomass boiler investments were undertaken?	list
In which financial year did ITC first achieve Plastic Neutrality?	factoid
List the key details regarding the associate company's audit trail compliance issues, including the time period, impact proportion, and compliance actions taken.	list
During the year ended 31st March, 2025, how many Ordinary Shares did the Company issue towards employee stock options, and what was the amount?	factoid
What operational outcomes were aided by ITC's robust Employee Relations platform? (A) It facilitated the implementation of whistleblower policies, enabled smooth investigation of employee complaints, and supported the establishment of audit committee oversight (B) It aided the conclusion of collective bargaining agreements at several manufacturing units, ensured the smooth commencement of operations at greenfield locations, and enabled the execution of productivity improvement practices (C) It contributed to building harmonious stakeholder relationships, prevented employee victimization, and maintained confidentiality during investigations (D) It supported the creation of trust and empowerment environments, provided access to best-in-class resources and technology, and facilitated continuous learning opportunities	mcq
List all waste categories that showed year-over-year increases from FY 2023-24 to FY 2024-25, along with their increase amounts.	list
What are the key issues addressed by ITC's Sustainability 2.0 vision articulated by Sanjiv Puri?	list
Which ITC unit received the CII Quality Circle Competition Winner Award in the Northern Region? (A) The Mumbai Unit (B) The Haridwar Unit (C) The Delhi Unit (D) The Kolkata Unit	mcq
What are the multiple options consumers have to connect with ITC and provide feedback?	list
What are the key assumptions and their corresponding values used in the Black Scholes Option Pricing model for ITC's option valuation?	list
What are all the subsidiaries that ITC had up to 31.12.2024?	list
What was the total current Trade Payables for ITC as at 31st March, 2025? (A) 4489.55 crores (B) 4489.82 crores (C) 4282.70 crores (D) 4311.58 crores	mcq
What are the specific Listing Regulations with which ITC confirms compliance?	list
List the re-appointment terms and their lengths for the directors mentioned in the context.	list
Which agri-commodities does ITC source through backward integration according to their 2025 report? (A) Rice, sugarcane, cotton, tea, coffee, and barley (B) Wheat, potato, fruit pulp, spices, milk, and leaf tobacco (C) Corn, tomato, vegetable oils, herbs, dairy products, and cigarette tobacco (D) Wheat, onion, fruit concentrate, seasonings, cream, and smoking tobacco	mcq
What are the components and amounts under item (a) 'Principal amount remaining unpaid to any supplier' as at 31st March, 2025? (A) On account of trade payables: 178.24 crores; On account of liabilities other than trade payables: 19.85 crores; Total: 198.09 crores (B) On account of trade payables: 206.85 crores; On account of liabilities other than trade payables: 19.85 crores; Total: 226.70 crores (C) On account of trade payables: 178.24 crores; On account of liabilities other than trade payables: 4311.58 crores; Total: 4489.82 crores (D) On account of trade payables: 120.57 crores; On account of liabilities other than trade payables: 19.85 crores; Total: 140.42 crores	mcq
What was the weighted average share price of shares arising upon exercise of options during the year ended 31st March, 2025?	factoid
What was the increase in total revenue from operations for ITC Limited from the year ended 31st March, 2024 to the year ended 31st March, 2025? (A) 6,542.18 crores (B) 7,721.35 crores (C) 8,156.42 crores (D) 9,234.67 crores	mcq
Between 31st March, 2024 and 31st March, 2025, which ratio declined more and by how much? (A) The Inventory Turnover Ratio declined more, falling by 0.67 times compared to Trade Receivables Turnover which fell by 3.94 times (B) The Trade Receivables Turnover Ratio declined more, falling by 3.94 times compared to Inventory Turnover which fell by 0.67 times (C) The Inventory Turnover Ratio declined more, falling by 3.94 times compared to Trade Receivables Turnover which fell by 0.67 times (D) Both ratios declined equally by 0.67 times each	mcq
What are the ways the newly commissioned High Pressure Recovery Boiler at the Bhadrachalam mill supports the Business's sustainability objectives?	list
What are the three business groups that ITC is currently focused on?	list
Who serves as the Secretary to the Corporate Management Committee (CMC)?	factoid
Which court quashed some of the proceedings and prosecutions initiated by the Enforcement Directorate against ITC? (A) The Honourable Supreme Court of India (B) The Honourable Delhi High Court (C) The Honourable Calcutta High Court (D) The Honourable Bombay High Court	mcq
What is the name of ITC's Supply Chain Transformation Project that was established to enhance customer service and realize value from supply chain optimization? (A) OJAS (B) BRICS (C) Digital App Suite (D) Make in India	mcq
List the leadership roles that Sanjiv Puri holds in national and international organizations.	list
What amount was recognised as Goodwill pursuant to the acquisition?	factoid
In which segment has ITC strengthened its leadership position by developing customised solutions for end-use industries?	factoid
What is the share in total comprehensive income for ITC Hotels Limited# among associates (percentage and amount in crores)? (A) 0.26% and 88.69 crores (B) 0.24% and 82.45 crores (C) 0.28% and 91.23 crores (D) 0.22% and 85.17 crores	mcq
What are the components and amounts that make up Other liabilities (Current) as at 31st March, 2025? (A) Statutory Liabilities: 4398.88 Crores; Advances received from customers: 828.69 Crores; Others (includes deferred revenue, accruals etc.): 162.18 Crores (B) Statutory Liabilities: 4688.79 Crores; Advances received from customers: 1357.07 Crores; Others (includes deferred revenue, accruals etc.): 24.16 Crores (C) Trade payables: 178.24 Crores; Other liabilities: 19.85 Crores; Interest due: 0 Crores (D) Statutory Liabilities: 4688.79 Crores; Trade payables: 178.24 Crores; Others (includes deferred revenue, accruals etc.): 162.18 Crores	mcq
List the non-current employee loan amounts for the Company as at 31st March, 2024 and 31st March, 2025.	list
Which institution is used to revive and restore vanishing musical sub-genres, and when was it established?	factoid
What was the total number of complaints reported under the Sexual Harassment of Women at Workplace Act (POSH) in FY 2024-25?	factoid
What are the Blazeclan entities and their respective total comprehensive income amounts (in crores)?	list
What are the key cybersecurity measures ITC has implemented to protect against cyber-attacks?	list
What are the reasons why integrating societal value creation into corporate strategy leads to more enduring growth for stakeholders?	list
What is the Current Ratio (in times) as of 31st March, 2025?	factoid
Did the Company incur cash losses in the current and immediately preceding financial year?	factoid
What was the change in total fair value of derivatives measured at fair value between 31st March, 2024 and 31st March, 2025? (A) It increased by 44.02 Crores (from 2.90 Crores to 46.92 Crores) (B) It decreased by 44.02 Crores (from 46.92 Crores to 2.90 Crores) (C) It increased by 41.12 Crores (from 5.80 Crores to 46.92 Crores) (D) It increased by 46.92 Crores (from 0 Crores to 46.92 Crores)	mcq
How do ITC LSTC's proprietary patented barrier solutions contribute to sustainability in the Quick Service Restaurant (QSR) segment while maintaining product performance? (A) They provide excellent barriers to oil, grease, and water that enhance product performance, and they align with global sustainability goals by reducing dependency on conventional fossil fuel derived materials. (B) They offer superior barrier properties to moisture and air while reducing packaging weight and increasing recycled content in QSR applications. (C) They enhance product performance through advanced synthetic polymer technology and contribute to sustainability by improving recyclability of conventional materials. (D) They provide effective barriers to contamination and extend shelf life while supporting sustainability through reduced salt, sugar and fat content in food products.	mcq
List all the committee positions that Sumant Bhargavan holds across different entities.	list
Were there any dues to Micro and Small Enterprises outstanding for more than 45 days during the year and as at 31st March, 2025?	factoid
